,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
,雨天,,,有,不好,2,2,1.0,"0,2",1.0
,雨天,,,無,好,2,3,1.0,"3,0",1.5
,陰天,,,,好,1,4,1.0,"0,4",4.0
,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
,雨天,,,有,不好,2,2,1.0,"0,2",1.0
,雨天,,,無,好,2,3,1.0,"3,0",1.5
,陰天,,,,好,1,4,1.0,"0,4",4.0
,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
,雨天,,,有,不好,2,2,1.0,"0,2",1.0
,雨天,,,無,好,2,3,1.0,"3,0",1.5
,陰天,,,,好,1,4,1.0,"0,4",4.0
<<<<<<< HEAD
=======
,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
,雨天,,,有,不好,2,2,1.0,"0,2",1.0
,雨天,,,無,好,2,3,1.0,"3,0",1.5
,陰天,,,,好,1,4,1.0,"0,4",4.0
20,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
21,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
22,雨天,,,有,不好,2,2,1.0,"0,2",1.0
23,雨天,,,無,好,2,3,1.0,"3,0",1.5
24,陰天,,,,好,1,4,1.0,"0,4",4.0
25,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
26,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
27,雨天,,,有,不好,2,2,1.0,"0,2",1.0
28,雨天,,,無,好,2,3,1.0,"3,0",1.5
29,陰天,,,,好,1,4,1.0,"0,4",4.0
>>>>>>> d323fc0a8f750924221af5008069333bff2ec2d3
33,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
34,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
35,雨天,,,有,不好,2,2,1.0,"0,2",1.0
36,雨天,,,無,好,2,3,1.0,"3,0",1.5
37,陰天,,,,好,1,4,1.0,"0,4",4.0
38,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
39,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
40,雨天,,,有,不好,2,2,1.0,"0,2",1.0
41,雨天,,,無,好,2,3,1.0,"3,0",1.5
42,陰天,,,,好,1,4,1.0,"0,4",4.0
43,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
44,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
45,雨天,,,有,不好,2,2,1.0,"0,2",1.0
46,雨天,,,無,好,2,3,1.0,"3,0",1.5
47,陰天,,,,好,1,4,1.0,"0,4",4.0
48,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
49,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
50,雨天,,,有,不好,2,2,1.0,"0,2",1.0
51,雨天,,,無,好,2,3,1.0,"3,0",1.5
52,陰天,,,,好,1,4,1.0,"0,4",4.0
53,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
54,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
55,雨天,,,有,不好,2,2,1.0,"0,2",1.0
56,雨天,,,無,好,2,3,1.0,"3,0",1.5
57,陰天,,,,好,1,4,1.0,"0,4",4.0
58,晴朗,,正常,,好,2,2,1.0,"0,2",1.0
59,晴朗,,高,,不好,2,3,1.0,"3,0",1.5
60,雨天,,,有,不好,2,2,1.0,"0,2",1.0
